"id","name","codeKLADR","isTerminal"
"0x802d3f9e8e809a334785ec81dbfde023","Модена г (Эмилия-Романья обл.)","9993801000000300000000000","0"
"0x8049cef71fa0416b47310d59142a1de2","Малка с (Респ. Кабардино-Балкарская)","700300001100000000000000","0"
"0x804e84f9762135a34a22137c70537ae7","Лутон г (Бедфордшир обл.)","9998260400000100000000000","0"
"0x805900112fdd658311da3bc904f59a69","г. Санкт-Петербург","7800000000000000000000000","1"
"0x805900112fdd658311da3bd294d6d7c0","Волхов г (Ленинградская обл.)","4700400100000000000000000","0"
"0x805900112fdd658311da3bd294d6d7c1","Пушкин г (г. Санкт-Петербург)","7800000900000000000000000","1"
"0x805900112fdd658311da3be3037f91dd","Орел г (Орловская обл.)","5700000100000000000000000","1"
"0x805ac42493f9f6e149a9afb7e8d444f9","Талдыкорган г. (Алматинская область)","9993981901000100000000000","0"
"0x806200112fdd658311da447fea961ee2","Сочи г (Краснодарский край)","2300000700000000000000000","1"
"0x8077a8864e7700574a6f6733d5f8885b","Варшава г. (г. Варшава)","9996160200000300000000000","0"
"0x807a057510a6f5154c2692918f473506","Андреевский п (Омская обл.)","5502100000300000000000000","0"
"0x8094001a64963cbd11e1be8f1d5012cf","Серебряные Пруды рп (Московская обл.)","5000004300000000000000000","0"
"0x8094001a64963cbd11e1bf46f20406e2","Солотча п (Рязанская обл.)","6200000025800000000000000","0"
"0x8094001a64963cbd11e1bf46f20406e4","Любим г (Ярославская обл.)","7600700100000000000000000","0"
"0x80bb751207ac22af4e3fe0eac953b5a1","Усть-Цильма с (Респ. Коми)","1101900000100000000000000","0"
"0x80cd001a64963cbd11e236022344d16b","Инской пгт (Кемеровская область - Кузбасс обл.)","4200001500500000000000000","0"
"0x80cd001a64963cbd11e2385ab386c215","Умба пгт (Мурманская обл.)","5100600000100000000000000","0"
"0x80cd001a64963cbd11e26c1ddab6fbc8","Яр п (Респ. Удмуртская)","1802600000100000000000000","0"
"0x80cd001a64963cbd11e26e76213a1f74","Николаевский п (Респ. Бурятия)","301900001600000000000000","0"
"0x80d579bc635dc35b4943d8121ac1d92c","Ильинское-Хованское п (Ивановская обл.)","3700600000100000000000000","0"
"0x80eba487e3609beb408a9795c66a9313","Тенгиз п (Атырауская область)","9993982303600008560100000","0"
"0x810ee61f132874ef11e105ef5c938528","Амурск г (Хабаровский край)","2700000300000000000000000","0"
"0x810ee61f132874ef11e105ef5c938529","Хурба с (Хабаровский край)","2701000003300000000000000","0"
"0x810ee61f132874ef11e105ef5c93852a","Эльбан рп (Хабаровский край)","2700200002800000000000000","0"
"0x810ee61f132874ef11e105ef5c93852b","Солнечный рп (Хабаровский край)","2701500000100000000000000","0"
"0x810ee61f132874ef11e105ef5c93852c","Хурмули п (Хабаровский край)","2701500001800000000000000","0"
"0x810ee61f132874ef11e105ef5c93852d","Вяземский г (Хабаровский край)","2700700100000000000000000","0"
"0x810ee61f132874ef11e105ef5c93852e","Райчихинск г (Амурская обл.)","2800000200000000000000000","0"
"0x810ee61f132874ef11e105ef5c93852f","Артем г (Приморский край)","2500000300000000000000000","1"
"0x8148e61f132874ef11e28adb77434211","Морки пгт (Респ. Марий Эл)","1200900000100000000000000","0"
"0x816e4049184c6ca842cfa6b71f8aa635","месторождение им. Р. Требса тер (Ненецкий АО)","8300100004900000000000000","0"
"0x816efdeacfb31572434351026913c94b","Вёнзовна г. (Мазовецкое воеводство обл.)","9996161800000100000000000","0"
"0x81a3a65c0ea8d9f8427756cb494d4aa9","Бекеш г. (г. Бекеш)","9993480100000100000000000","0"
"0x81c5f3feb4bec94b46141520b830464a","Саловка с (Пензенская обл.)","5802900007100000000000000","0"
"0x81d172efcf9ecdf7419b230c662bf49c","Армянск г (Респ. Крым)","9100000200000000000000000","0"
"0x81e100112fdd658311da55b5652db3ad","Александровское с (Ставропольский край)","2600200000100000000000000","0"
"0x81e100112fdd658311da55b5652db3ae","Алексеевка г (Белгородская обл.)","3100200100000000000000000","0"
"0x81e100112fdd658311da55b5652db3b0","Алексин г (Тульская обл.)","7100200100000000000000000","0"
"0x81e100112fdd658311da55b5652db3b2","Альметьевск г (Респ. Татарстан)","1600800100000000000000000","1"
"0x81e100112fdd658311da55b5652db3b4","Анна пгт (Воронежская обл.)","3600200000100000000000000","0"
"0x81e100112fdd658311da55b5652db3b7","Апрелевка г (Московская обл.)","5004800300000000000000000","0"
"0x81e100112fdd658311da55b5652db3b8","Апшеронск г (Краснодарский край)","2300400100000000000000000","0"
"0x81e100112fdd658311da55b5652db3bc","Архангельское с (Тульская обл.)","7101600000900000000000000","0"
"0x81e100112fdd658311da55b5652db3bd","Аткарск г (Саратовская обл.)","6400000300000000000000000","0"
"0x81e100112fdd658311da55b5652db3bf","Афипский пгт (Краснодарский край)","2302900000700000000000000","0"
"0x81e100112fdd658311da55b5652db3c0","Бабаево г (Вологодская обл.)","3500200100000000000000000","0"
"0x81e100112fdd658311da55b5652db3c2","Багаевская ст-ца (Ростовская обл.)","6100400000100000000000000","0"
"0x81e100112fdd658311da55b5652db3c3","Баймак г (Респ. Башкортостан)","200600100000000000000000","0"
"0x81e100112fdd658311da55b5652db3c4","Балабаново г (Калужская обл.)","4000400200000000000000000","0"
"0x81e100112fdd658311da55b5652db3c5","Балашиха г (Московская обл.)","5000003600000000000000000","1"
"0x81e100112fdd658311da55b5652db3c6","Балашов г (Саратовская обл.)","6400000500000000000000000","0"
"0x81e100112fdd658311da55b5652db3c8","Безенчук пгт (Самарская обл.)","6300300000100000000000000","0"
"0x81e100112fdd658311da55b5652db3ca","Белая Глина с (Краснодарский край)","2300500000100000000000000","0"
"0x81e100112fdd658311da55b5652db3cb","Белая Калитва г (Ростовская обл.)","6100500100000000000000000","0"
"0x81e100112fdd658311da55b5652db3cc","Белебей г (Респ. Башкортостан)","200900100000000000000000","0"
"0x81e100112fdd658311da55b5652db3cd","Белев г (Тульская обл.)","7100400100000000000000000","0"
"0x81e100112fdd658311da55b5652db3cf","Белорецк г (Респ. Башкортостан)","201100100000000000000000","1"
"0x81e100112fdd658311da55b5652db3d0","Белореченск г (Краснодарский край)","2300600100000000000000000","0"
"0x81e100112fdd658311da55b5652db3d3","Белые Столбы пгт (Московская обл.)","5000000100400000000000000","0"
"0x81e100112fdd658311da55b5652db3d4","Бирск г (Респ. Башкортостан)","201300100000000000000000","0"
"0x81e100112fdd658311da55b5652db3d5","Благодарный г (Ставропольский край)","2600600100000000000000000","0"
"0x81e100112fdd658311da55b5652db3d6","Бобров г (Воронежская обл.)","3600300100000000000000000","0"
"0x81e100112fdd658311da55b5652db3d7","Богородицк г (Тульская обл.)","7100500100000000000000000","0"
"0x81e100112fdd658311da55b5652db3d8","Богородск г (Нижегородская обл.)","5200500100000000000000000","0"
"0x81e100112fdd658311da55b5652db3da","Бокситогорск г (Ленинградская обл.)","4700200100000000000000000","0"
"0x81e100112fdd658311da55b5652db3db","Болхов г (Орловская обл.)","5700200100000000000000000","0"
"0x81e100112fdd658311da55b5652db3de","Бор г (Нижегородская обл.)","5200000500000000000000000","0"
"0x81e100112fdd658311da55b5652db3df","Борисовка с (Белгородская обл.)","3102000002000000000000000","0"
"0x81e100112fdd658311da55b5652db3e1","Борисоглебск г (Воронежская обл.)","3600500100000000000000000","1"
"0x81e100112fdd658311da55b5652db3e2","Боровск г (Калужская обл.)","4000400100000000000000000","0"
"0x81e100112fdd658311da55b5652db3e4","Бронницы г (Московская обл.)","5000000200000000000000000","0"
"0x81e100112fdd658311da55b5652db3e5","Брюховецкая ст-ца (Краснодарский край)","2300700000100000000000000","0"
"0x81e100112fdd658311da55b5652db3e6","Бугульма г (Респ. Татарстан)","1601400100000000000000000","0"
"0x81e100112fdd658311da55b5652db3e7","Бугуруслан г (Оренбургская обл.)","5600000500000000000000000","0"
"0x81e100112fdd658311da55b5652db3e8","Бутурлиновка г (Воронежская обл.)","3600600100000000000000000","0"
"0x81e100112fdd658311da55b5652db3e9","Быково рп (Московская обл.)","5000006301700000000000000","0"
"0x81e100112fdd658311da55b5652db3ea","Валуйки г (Белгородская обл.)","3100400100000000000000000","0"
"0x81e100112fdd658311da55b5652db3eb","Вейделевка п (Белгородская обл.)","3100500000100000000000000","0"
"0x81e100112fdd658311da55b5652db3ec","Вельск г (Архангельская обл.)","2900200100000000000000000","0"
"0x81e100112fdd658311da55b5652db3ed","Венев г (Тульская обл.)","7100600100000000000000000","0"
"0x81e100112fdd658311da55b5652db3f1","Веселое с (Краснодарский край)","2300000714300000000000000","0"
"0x81e100112fdd658311da55b5652db3f3","Ветлуга г (Нижегородская обл.)","5201300100000000000000000","0"
"0x81e100112fdd658311da55b5652db3f5","Видное г (Московская обл.)","5001400100000000000000000","0"
"0x81e100112fdd658311da55b5652db3f6","Витязево с (Краснодарский край)","2300300100300000000000000","0"
"0x81e100112fdd658311da55b5652db3f7","Внуково п (г. Москва)","7700000000200000000000000","0"
"0x81e100112fdd658311da55b5652db3fb","Волна п (Краснодарский край)","2303300001000000000000000","0"
"0x81e100112fdd658311da55b5652db3fc","Волово п (Тульская обл.)","7100700000100000000000000","0"
