"cityID","code"
"1885","1100000400000000000000000"
"1909","1100000500000000000000000"
"6651","1400200000100000000000000"
"6691","1400500000100000000000000"
"6715","1400700000100000000000000"
"6726","1400800000100000000000000"
"6764","1400900000100000000000000"
"6825","1401100100000000000000000"
"6828","1401200000100000000000000"
"6844","1401300000100000000000000"
"6893","1401500100000000000000000"
"6969","1401600000100000000000000"
"6980","1401600001200000000000000"
"7006","1401700000200000000000000"
"7020","1401700100000000000000000"
"7022","1401700200000000000000000"
"7090","1402100100000000000000000"
"7091","1402200000100000000000000"
"7179","1402300100000000000000000"
"7185","1402400000100000000000000"
"7205","1402600000100000000000000"
"7244","1402700000100000000000000"
"7260","1402800000100000000000000"
"7276","1402900000100000000000000"
"7329","1403100000100000000000000"
"7368","1403200100000000000000000"
"7369","1403300000100000000000000"
"33578","2403800000100000000000000"
"33887","2404400000100000000000000"
"33896","2404400001000000000000000"
"33908","2404400002200000000000000"
"33942","2404800100000000000000000"
"34078","2500000800000000000000000"
"34449","2501100000100000000000000"
"34468","2501100002200000000000000"
"34880","2502500000200000000000000"
"34882","2502500000600000000000000"
"34893","2502500001900000000000000"
"36124","2700000600000000000000000"
"36239","2700600000100000000000000"
"36251","2700600001400000000000000"
"36610","2701300100000000000000000"
"37280","2801500000100000000000000"
"42820","300000200000000000000000"
"43979","301300000100000000000000"
"44245","301700000100000000000000"
"69056","3800000600000000000000000"
"70463","3801000000100000000000000"
"70656","3801200100000000000000000"
"77731","4100000100000000000000000"
"77732","4100000200000000000000000"
"77800","4100500100000000000000000"
"77827","4100900000100000000000000"
"102451","4900000100000000000000000"
"159717","6500500100000000000000000"
"159732","6500600100000000000000000"
"159743","6500700001700000000000000"
"159747","6500800000100000000000000"
"159774","6500900100000000000000000"
"159789","6501000100000000000000000"
"159792","6501200000100000000000000"
"159819","6501300100000000000000000"
"159821","6501400000100000000000000"
"159861","6501500100000000000000000"
"159862","6501500200000000000000000"
"159893","6501700000100000000000000"
"159919","6501800100000000000000000"
"193355","7500800000100000000000000"
"193358","7500800000600000000000000"
"202002","8300000100000000000000000"
"202986","8700000100000000000000000"
"203004","8700300100000000000000000"
"203126","8900000100000000000000000"
"203132","8900000300000000000000000"
"286179","9993981101000100000000000"
"286190","9993981101800100000000000"
"287198","9993981107020100000000000"
"287242","9993981501000100000000000"
"288546","9993981901000100000000000"
"289271","9993981905220100000000000"
"289793","9993982301000100000000000"
"289842","9993982303620100000000000"
"289850","9993982304000003010000000"
"290080","9993982304600003010000000"
"290386","9993982701000100000000000"
"290687","9993982703620100000000000"
"292396","9993983101000100000000000"
"293174","9993983501000100000000000"
"293178","9993983501600100000000000"
"293235","9993983501800100000000000"
"293240","9993983502200100000000000"
"293245","9993983502400100000000000"
"295199","9993983901000100000000000"
"295260","9993983902000100000000000"
"295264","9993983902400100000000000"
"296230","9993984301000100000000000"
"296231","9993984301900100000000000"
"296646","9993984701000100000000000"
"296651","9993984701800100000000000"
"297207","9993985101000100000000000"
"297255","9993985102000100000000000"
"297359","9993985102600100000000000"
"298713","9993985501000100000000000"
"298765","9993985501600100000000000"
"298807","9993985502200100000000000"
"299474","9993985901000100000000000"
"300392","9993986301000100000000000"
"300677","9993986302800100000000000"
"344145","9991121200000100000000000"
"344146","9991121200001000000000000"
"344147","9991121200004500000000000"
"346345","9991122200000100000000000"
"346347","9991122200002400000000000"
"346348","9991122200003500000000000"
"347882","9991122201500050100000000"
"352895","9991123200000100000000000"
"353588","9991123201200050100000000"
"353876","9991123201800050100000000"
"354409","9991123203500050100000000"
"354775","9991123204500050100000000"
"355455","9991124200000100000000000"
"357387","9991124203600050100000000"
"358419","9991124204900050100000000"
"359852","9991125000000000000000000"
"360071","9991126200800050100000000"
"362794","9991126203800050100000000"
"363812","9991126204600050100000000"
"365058","9991127200000100000000000"
"365059","9991127200001000000000000"
"368124","9993987500000000000000000"
"377450","9994170100000100000000000"
"377451","9994170100000200000000000"
"377452","9994170100100100000000000"
"377482","9990510100000000000000000"
"377931","9993982303600008560100000"
"384790","9993986304820200000000000"
"386849","9993981200000000000000000"
"387642","3801400050200000000000000"
